SERVICE_KEY,STOP_HOURS,FROM_LOCATION_ID,TO_LOCATION_ID,COUNT,P05,P25,P50,P75,P95
S,6,7899,6446,26,29.25,34,36,38,41.75
S,6,792,9526,26,38.25,42.25,48.5,53,56.75
S,6,8134,1831,26,27.25,31,40,75,195.25
S,6,820,13327,26,28.25,42,47.5,52.75,57.25
S,6,8213,10845,26,52,57.25,63,74.25,81.75
S,6,8242,7654,37,30,33,38,40,71.39999999999992
S,6,8481,8808,25,56,59,61,69,81.99999999999997
S,6,8851,5492,26,42.5,48.25,54.5,63.75,90
S,6,8936,5394,26,91.25,103,107,125.25,155.5
S,6,8963,7174,22,21.25,27,31,43.25,80.89999999999999
S,6,8981,9031,25,22.2,24,26,38,54.39999999999999
S,6,8989,7162,25,38.4,42,49,64,70.8
S,6,9030,10287,25,23.2,26,27,29,32.8
S,6,9031,7169,24,21,22,23,24.25,26.849999999999998
S,6,9526,704,26,71,73.25,96.5,112.5,123.5
S,6,9599,735,25,44,57,62,71,87.99999999999999
S,6,9600,9708,25,37.2,40,76,82,91.79999999999998
S,6,9756,11313,26,25.25,26,28.5,38.75,53
S,6,9773,2341,26,25,27.25,29,31,39.5
S,7,10006,7154,24,22,23.75,24.5,25.25,26
S,7,1010,1017,25,30.2,32,33,36,38
S,7,1013,1021,24,23.6,28.75,37,56.25,59
S,7,1017,1019,23,21,22.5,24,29,36.599999999999994
S,7,10196,1802,26,21,22,22.5,24,26
S,7,1021,1010,21,22,24,25,27,30
S,7,10318,10194,25,21,22,24,26,28.799999999999997
S,7,10639,4305,26,24,27,27,31,32.75
S,7,10791,11032,24,21.150000000000002,23,26.5,47.25,51.55
S,7,10792,715,26,23,25,26.5,29,31.75
S,7,10822,10824,25,21,22,24,24,25
S,7,10823,10825,25,21.6,25,27,28,34.19999999999999
S,7,10824,10823,26,33.25,35.25,37,39.75,46
S,7,10826,10827,24,21,22.75,24,25,27.849999999999998
S,7,10827,10828,26,38.25,41.25,45.5,52.25,58.75
S,7,10830,10831,24,21,21.75,23,25,26
S,7,10848,193,25,23,25,27,31,38.8
S,7,10855,10855,24,24.15,26,31.5,45.25,51.849999999999994
S,7,10860,4287,26,43.25,47,48,51,56
S,7,10874,10318,26,29.5,32.5,41,51.5,61.75
S,7,10877,8745,26,22.25,23.25,25.5,33.5,41.75
S,7,10879,8464,26,40,42.5,50,64.5,81
S,7,10910,10877,26,65.5,91.25,101.5,112.25,128.25
S,7,10910,6510,38,26,27,29.5,48.75,63.499999999999986
S,7,11032,10809,26,45.25,60,63.5,74.75,85.25
S,7,11071,5446,25,21.200000000000003,22,25,25,27
S,7,11271,10848,26,25,27,30,36.25,54.75
S,7,11313,5081,26,44.5,51,58.5,65.75,75.5
S,7,11411,8917,26,34.25,37.25,39,40.75,45.5
S,7,11772,9722,26,27,29,30,31,35
S,7,11815,8584,26,31,33.5,36,37,41.75
S,7,12707,1328,26,26.25,29,32,34.75,43.5
S,7,12762,12763,26,40.25,45,49.5,55,79.5
S,7,12763,7772,26,78,91.25,94,98.75,118
S,7,12892,2619,36,21,22,23,26,28.25
S,7,12904,1799,26,21,22.25,24,25.75,27.75
S,7,12917,7658,34,22,24,26,34.5,46.74999999999997
S,7,12933,1035,25,28.2,30,33,36,48.39999999999999
S,7,12943,5428,24,23,24.75,26,28,29
S,7,12948,1811,35,24.7,27,30,33.5,45.799999999999955
S,7,12949,5395,26,25,28,29,33,35.5
S,7,12957,5407,25,22,23,27,28,31.799999999999997
S,7,13018,996,25,24.2,26,29,32,42.79999999999998
S,7,13043,418,25,35.2,38,39,55,68.39999999999998
S,7,13086,13087,24,22,24.75,26.5,29,31.849999999999998
S,7,13088,2420,25,91.6,97,106,113,129.99999999999997
S,7,13089,9767,25,29,31,34,38,43.599999999999994
S,7,13092,9776,26,32.25,37,43,47.75,57.75
S,7,13116,5231,26,26.25,30,32,33,35.75
S,7,13117,5235,22,21,27.25,52,78.75,82.94999999999999
S,7,13118,13117,24,21.150000000000002,24,25,27.25,29
