SERVICE_DATE,SERVICE_KEY,TRAIN,TRIP_NUMBER,bus,ROUTE_NUMBER,DIRECTION,ESTIMATED_LOAD,start_location,depart,end_location,arrive,ACT_ARR_TIME,ACT_DEP_TIME,STOP_TYPE,GPS_LONGITUDE,GPS_LATITUDE,delay,DOOR_OPEN_TIME
11SEP2017:00:00:00,W,402,1110,2639,4,1,28,7856,24823,2642,25044,24850,24900,3,-122.65871329999999,45.512851667,50,0
11SEP2017:00:00:00,W,402,1820,3130,4,1,16,7856,80079,2642,80256,80085,80109,3,-122.65865829999998,45.512051667,24,0
11SEP2017:00:00:00,W,402,1650,3130,4,1,10,7856,62292,2642,62500,62308,62354,3,-122.6586817,45.512838333000005,46,0
12SEP2017:00:00:00,W,402,1110,3507,4,1,18,7856,24767,2642,24975,24784,24828,3,-122.65873500000001,45.5127,44,0
13SEP2017:00:00:00,W,402,1110,2629,4,1,19,7856,24708,2642,24899,24720,24754,3,-122.6587283,45.512775,34,0
13SEP2017:00:00:00,W,402,1650,3303,4,1,7,7856,62072,2642,62285,62090,62146,3,-122.65874170000001,45.512791666999995,56,0
13SEP2017:00:00:00,W,402,1820,3303,4,1,10,7856,79093,2642,79212,79109,79124,3,-122.6587267,45.512838333000005,15,0
14SEP2017:00:00:00,W,402,1650,3103,4,1,13,7856,62073,2642,62407,62089,62145,3,-122.658725,45.512841667,56,0
14SEP2017:00:00:00,W,402,1650,3103,4,1,13,7856,62073,2642,62407,62325,62339,3,-122.66466329999999,45.512965,14,0
14SEP2017:00:00:00,W,402,1820,3103,4,1,9,7856,79188,2642,79352,79192,79207,3,-122.65869170000002,45.511996667,15,0
14SEP2017:00:00:00,W,402,1820,3103,4,1,9,7856,79188,2642,79352,79229,79279,3,-122.6587367,45.512833333,50,0
15SEP2017:00:00:00,W,402,1110,2709,4,1,22,7856,24701,2642,24839,24717,24752,3,-122.65871670000001,45.512828333,35,0
15SEP2017:00:00:00,W,402,1650,3153,4,1,9,7856,62110,2642,62295,62122,62141,3,-122.6586883,45.512015000000005,19,0
15SEP2017:00:00:00,W,402,1650,3153,4,1,9,7856,62110,2642,62295,62162,62216,3,-122.658725,45.512836666999995,54,0
15SEP2017:00:00:00,W,402,1820,3153,4,1,8,7856,79326,2642,79496,79334,79346,3,-122.6586867,45.512066667,12,0
15SEP2017:00:00:00,W,402,1820,3153,4,1,8,7856,79326,2642,79496,79366,79420,3,-122.6587267,45.512841667,54,0
18SEP2017:00:00:00,W,402,1110,2644,4,1,24,7856,24745,2642,24960,24760,24823,3,-122.6587317,45.512853333,63,0
18SEP2017:00:00:00,W,402,1110,2644,4,1,24,7856,24745,2642,24960,24891,24920,3,-122.6605617,45.512976667,29,0
18SEP2017:00:00:00,W,402,1650,3167,4,1,14,7856,62151,2642,62355,62165,62206,3,-122.65873,45.512836666999995,41,0
18SEP2017:00:00:00,W,402,1820,3167,4,1,6,7856,79210,2642,79352,79222,79269,3,-122.65873329999998,45.512845,47,0
19SEP2017:00:00:00,W,402,1650,3105,4,1,0,7856,62018,2642,62223,62203,62223,3,-122.66326000000001,45.512923333,20,0
19SEP2017:00:00:00,W,402,1650,3105,4,1,0,7856,62018,2642,62326,62203,62223,3,-122.66326000000001,45.512923333,20,0
